No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1133,IOVA,"Iovance Biotherapeutics, Inc.",Healthcare,Biotechnology,USA,3064.39,,24.83,3.72%,932833
1134,VG,Vonage Holdings Corp.,Technology,Diversified Communication Services,USA,3058.4,292.86,12.3,6.13%,2641346
1135,ASGN,ASGN Incorporated,Services,Staffing & Outsourcing Services,USA,3048.25,19.65,59.42,0.47%,156555
1136,SAFM,"Sanderson Farms, Inc.",Consumer Goods,Food - Major Diversified,USA,3040.74,,142.29,1.04%,169039
1137,FIVN,"Five9, Inc.",Technology,Application Software,USA,3037.1,,51.52,0.10%,186187
1138,ENSG,"The Ensign Group, Inc.",Healthcare,Long-Term Care Facilities,USA,3031.97,32.9,57.84,0.54%,99306
1139,TCBI,"Texas Capital Bancshares, Inc.",Financial,Regional - Southwest  Banks,USA,3027.42,10.08,60.5,0.78%,291209
1140,HLI,"Houlihan Lokey, Inc.",Financial,Investment Brokerage - National,USA,3012.24,18.72,45.64,1.90%,162297
1141,RTLR,Rattler Midstream LP,Basic Materials,Independent Oil & Gas,USA,3011.81,33.33,19.33,-1.23%,47124
1142,EVBG,"Everbridge, Inc.",Technology,Application Software,USA,2999.69,,93.39,2.66%,276772
1143,HLNE,Hamilton Lane Incorporated,Financial,Asset Management,USA,2997.38,42.49,59.19,2.26%,68534
